user,hike_id
Poncione,hikeratina al rifugio dumenza m 941_46.03_8.8
Bertrand,pont suspendu de carasc de sementina mornera_46.2_8.98
Bertrand,aiarlo di dentro en boucle de gordevio a maggia_46.24_8.73
cappef,sassariente 1768m cima di sassello 1890m_46.2_8.9
Max64,poker di cime alla punta del cavrile 2392m valsessera_45.68_8.03
Poge,monte muffetto corni del diavolo monte crestoso_45.83_10.28
cristina,lagorai anello monte croce 2490 m monte ruioch 2415 n_46.15_11.36
Menek,guglielmo sei tu guglielmo_45.74_10.19
Francesco,monte isola_45.71_10.08
Poge,dal passo della cisa a pontremoli lungo la via francigena_44.43_9.92
ZvB,man kann nicht zweimal auf denselben berg steigen osterfeuerkopf co_47.61_11.22
beppe,todum pernice todano anello da cossogno_45.99_8.52
giorgio59m,alpe di motto compleanno col botto_46.26_9.08
carpintero,mieserenstock und tw riberg_47.02_8.85
igor,in cerca di zen_46.05_8.85
Gherard,lacheralm und seewandbank_47.69_12.03
Max64,corno stella 2620m mancato e dintorni_46.05_9.78
Sky,alpe morghirolo 1968 m_46.46_8.76
83_Stefan,zwieselberg 1348 m hufeisenrunde ber bad heilbrunn_47.73_11.47
carpintero,murtar l_46.68_10.1
carpintero,sp ltal punt la drossa il fuorn und champl nch_46.66_10.19
carpintero,sch lberg_47.02_8.82
carpintero,schwarzchopf und ungh r_47.21_9.31
carpintero,forstberg via m rlenloch und tritt_47_8.81
tignoelino,cima sasso val grande_46.02_8.48
QuerJAG,pf nder 1064m via lochau und schlauch_47.51_9.76
Curi,ohlstadt heimgarten herzogstand_47.62_11.27
gbal,alla casa dei pagani per la via mong danicomo_45.88_8.99
Poge,una splendida calvacata sul crinale dell appennino tosco emiliano_44.39_10.08
morgan,autunno in valcuvia tra boschi e monti_45.91_8.64
Andy84,aserlespitze 2337m einsame berschreitung der kompletten aserlegruppe_47.36_10.74
ser59,cima ezendola_46.01_10.19
Bertrand,hauts plateaux du vercors travers e int grale s n du tri ves villard de lans trailrun_44.93_5.54
gabri83,pizzo dei tre signori_46_9.55
cai56,cima di valpianella_46.03_9.59
Dodovogel,schwalmere hoganthorn und dr ttehorn f r vorsichtige_46.58_7.8
Makubu,erkundungen im weissensteingebiet_47.24_7.49
veget,cappella del buon pastore_45.96_8.39
83_Stefan,rescheskogel 2182 m rescher berg mit starker kulisse_47.31_12.48
Bergamotte,entlebucher fl he_46.92_8.07
Nik Brückner,heuberggrat walmendinger horn westgrat und die unglaubliche berschreitung des derrak pfles_47.32_10.12
Bombo,melchsee runde 11 gipfel_46.77_8.26
Schneemann,von der riviera am walensee auf den speer 1951m_47.16_9.11
Gherard,kaufmannkaser und br nnsteinhaus_47.64_12.1
D!nu,chaiserstock fulen_46.93_8.71
Luidger,westliche karwendelspitze und mittenwalder klettersteig_47.43_11.28
Bergamotte,spaziergang zum hochhamm 1275m_47.32_9.24
Bergamotte,von corcelles ber den mont raimeux nach moutier_47.29_7.43
Menek,1 2 3 non faccio calcoli punta almana_45.72_10.15
peter86,monte cancervo 1835 m e monte venturosa 1999 m_45.92_9.63
D!nu,rophaien eggberge via ganderfluh leiterliweg_46.91_8.66
giorgio59m,pizzo predelp 2586mt_46.51_8.8
Gherard,ranggenalm und scheibenb helalm von der griesener alm_47.59_12.34
Francesco,liguria di levante traversate tra mari e monti da camogli a sestri_44.33_9.19
jkuks,ritterpass punta est_46.27_8.16
Poge,monte comana e monte gringo_45.92_9.12
Gio59,sentiero degli dei_40.62_14.51
Giaco,poncione di braga_46.44_8.57
Linard03,prachovsk sk ly prachover felsen_50.47_15.3
tricky,s dostwandplatte und mattstogg_47.16_9.14
Max64,punta chermontane 2680m da marqueron fenis ao_45.69_7.51
Roald,motta palousa crap la massa and p 2687 above crap neir_46.63_9.61
viciox,baraghetto 1694 m monte generoso 1701 m_45.92_9.01
Stijn,bockmattlistock tierberg_47.1_8.97
Giaco,piz medel quasi_46.59_8.93
Giaco,poncione della marcia_46.32_8.78
igor,madone di c medo 2446m_46.32_8.58
Dodovogel,pilatus von hergiswil via nauenweg_46.98_8.28
Giaco,ferrata dei tre signori_46.21_8.97
Giaco,pizzo di vogorno_46.23_8.89
adrimiglio,val buscagna alpe devero_46.31_8.24
Giaco,m nnlichen con jungfraujoch_46.6_7.99
CampoTencia,nebelmeer abendrot tessinersonne grenzschl ngeln im val colla_46.04_9.02
83_Stefan,teufelst ttkopf 1758 m ein sommernachtstraum_47.6_11
Sky,pointe de dr ne 2950 m_45.88_7.17
Max64,alpe veglia anello dorato_46.27_8.16
Bergamotte,rundtour zum leuggelstock 1721m_46.98_9.03
tignoelino,rosso di ribia_46.25_8.54
joe,dilitschchopf versuch ber sw rippe_47.24_7.49
Gherard,thalerjoch von der ackernalm_47.58_11.96
Fico,weiss berzuckert uri rotstock 2928 m_46.88_8.54
Stijn,chapf margelchopf nw ridge_47.15_9.39
viciox,monte aralalta 2003 m pizzo baciamorti 2006 m_45.94_9.54
asus74,vorder gl rnisch 2328_47.02_9.06
Sky,cima della bianca 2893 m_46.57_8.88
Alberto C.,capanna cadagno dal passo del lucomagno anello_46.56_8.76
Schneemann,gamsfreiheit 2211m von marul ber els_47.19_9.88
siso,munzel m 2061 m_46.21_8.56
ser59,ferrata corno di grevo_46.08_10.5
paolo aaeabe,si va in grignetta_45.92_9.39
maawaa,yenstock 1674m leuggelstock 1726m oberblegisee 1420m_46.98_9.02
gero,col rosa 2166 m berschreitung auf vf bovero klein aber oho_46.59_12.1
Bertrand,balcon du glacier d aletsch fiescheral m rjele riederalp_46.42_8.08
veget,alpe olzeno alpe le biuse_46.08_8.64
Luidger,drei auf einen streich veitsberg frechjoch thalerjoch_47.57_11.98
ser59,monti pertecata matto costa di valbona sellerino venerocolo asinina_46.03_10.19
mountainrescue,hausbergrunde sinnvoll genutzt und neue startpl tze gefunden_47.37_15.19
Gherard,almwanderung zum pasterkopf_47.7_12.21
viciox,piramide vincent 4215 m_45.91_7.86
tignoelino,anello tra antigorio e formazza_46.36_8.4
viciox,balmenhorn 4167 m_45.91_7.85
cristina,anello della val varrone_46.04_9.47
poudrieres,von lancrans ber den grand cr t d eau_46.15_5.85
cappef,pian d arla 1307 m_46.02_8.61
Lella,grignone per la traversata alta_45.94_9.41
adrimiglio,passeggiata autunnale nella bassa val bognanco_46.12_8.25
rkroebl,st ant nien j gglischhorn 2290 m saaser alp_46.94_9.84
Simone86,pizzo di vogorno 2 442m_46.23_8.88
cappef,pizzo leone 1659 m_46.15_8.7
mountainrescue,auf der suche nach schnee f r luca f ndig geworden_47.53_14.97
Max64,autunno all alpe pescia 1450m_46.14_8.35
fuemm63,in den zen g rten des ryogen in_35.04_135.75
QuerJAG,pf nder gro en 955m via stegen und eichenberg_47.54_9.77
peter86,monte resegone 1875 m anello dai piani d erna_45.86_9.46
QuerJAG,sch ner mann 1532m via eseltrepple und bremaries weg_47.35_9.71
gabri83,tre pizzi croce di branzi pietra quadra_45.97_9.79
ZvB,eis und hei ro kogel_47.23_11.19
Max64,anello wild nella valgrande ponte casletto velina cicogna_46_8.47
83_Stefan,arnplattenspitze 2170 m rundtour aus der leutasch_47.39_11.19
Fico,die aussichtsterrasse hoch ber dem urnersee gitschen 2513 m_46.88_8.56
viciox,punta cermenati o resegone 1875 m_45.86_9.45
viciox,alta luce hochlicht 3184 m_45.87_7.84
carpintero,mutschen_47.22_9.38
Bergamotte,von grenchen ber den weissenstein nach solothurn_47.22_7.47
Krokus,wenig safranbl ten und viel farbe im aletschgebiet_46.35_7.99
Poge,una semi passeggiata sul monte soglio_45.35_7.54
cristina,monte cimone 2530 m_46.05_10.04
MatthiasG,auf steinbockspuren auf den falschen berg_46.93_10.1
SCM,im dichten nebel auf den ch serrugg_47.19_9.32
Bertrand,croz dell altissimo 2339m le belv d re de la brenta_46.17_10.96
joe,roggenflue_47.32_7.75
Bergamotte,hinteri egg 1169m_47.38_7.72
bula_f,ruederkarspitze und oberer rosskopf ber den kurzen sw grat_47.43_11.56
Bertrand,rocchetta di giochello 1519m sea to summit de riva del garda par la via ferrata dell amicizia_45.89_10.83
cai56,il vero sentiero panoramico della bregaglia_46.35_9.58
Andy84,lichtbrenntjoch 1961m traumhafte runde hoch ber dem plansee_47.46_10.81
Francesco,anellando al palanzone_45.86_9.24
cappef,monte turrioni 1108 m_45.99_8.55
QuerJAG,gsohl alpe 981m via uele grat und beppo steig_47.35_9.7
fuemm63,arita in japans porzellanland_33.19_129.9
igor,pizzo di corbella 2066m pizzo d orgnana 2219m m tt di p gor 2169m_46.23_8.77
joe,weg der habsburger_47.45_8.15
Roald,on the ridge from fanenstock 2235 m to foostock 2611 m_46.94_9.22
botticchio,ferrata gamma 2 e resegone 1 875m_45.86_9.46
habicht,einmal s ntis und zur ck_47.27_9.38
gebre,st moritz chamanna segantini di corsa wunderbar_46.5_9.88
Poge,cima ventolaro massa del turlo monte ostano cima camossaro cima della bonda 3 croci_45.86_8.28
Makubu,vom gotthardpass zum oberalppass_46.57_8.61
QuerJAG,pf nder gipfelstation maldona lifte 1015m via maldona wiese_47.5_9.76
tignoelino,colmine di crevola dalla valletta_46.18_8.3
fuemm63,auf pilgerwegen in und um koyasan_34.22_135.59
fuemm63,zu den heissen quellen und makaken im h llental_36.73_138.45
Simone86,pizzo stagno 2183m per cresta n e cimone di straolgio 2151m_46.08_8.47
cai56,doss di vacch_46.23_9.45
Riosambesi,dent d arclusaz 2041m_45.59_6.16
siso,pizzo leone 1659 m_46.15_8.67
Bergamotte,berschreitung mutschen 2122m_47.23_9.42
gabri83,cime di grem foppazzi cimetto camplano_45.91_9.81
alexelzach,gratwandern am dent de nendaz_46.15_7.29
alexelzach,grattour zu den becs de bosson_46.2_7.54
Max64,becca di viou 2856m e mont mary 2820m_45.79_7.36
Krokus,farbenfrohe wanderung von san bernardino nach hinterrhein_46.5_9.19
Gherard,grafenherberg_47.67_12.11
cai56,anello attorno ai corni bruciati_46.24_9.74
Poge,monte legnone direttissima_46.11_9.41
veget,pizzo leone dal versante di ronco sopra ascona_46.15_8.7
SCM,speer 1951m mit mattstock umrundung_47.17_9.14
gebre,piz roseg 3 937m dalla normale italiana tosto ma indimenticabile_46.34_9.9
paolo aaeabe,lago di sfille i primi colori d autunno smorzati dalla nebbia_46.27_8.49
Poge,monte faroma e monte morion_45.81_7.47
Menek,ferrata nasego vertical corna di savallo_45.71_10.31
cristina,testa grigia 3312 m_45.83_7.76
cristina,taou blanc 3438 m_45.49_7.15
cristina,becca d aran 2952 m e mont roisetta 3324 m_45.87_7.66
cristina,punte di ercavallo 3011 m e 3068 m_46.31_10.56
milan,einmal donauwellen mit aussicht_48.02_8.95
carpintero,chamanna cluozza_46.68_10.1
carpintero,fuorcla val sassa_46.63_10.07
QuerJAG,staufen 1465m via leiterweg z gle und m hlebachtobel_47.39_9.75
ser59,montebello stella tonale toro_46.06_9.79
carpintero,haupt via nordwestflanke_46.78_8.25
carpintero,hochstollen und haupt hikr treffen 2016_46.78_8.26
D!nu,chasseral via combe gr de_47.14_7.04
cai56,areuapass e q 2632_46.53_9.3
cai56,al vach monte vago_46.44_10.07
Menek,ma che bel ma che bel an so la cresta del tisdel_45.75_10.14
Bergamotte,rundtour fanenstock 2235m und foostock 2611m_46.94_9.22
AUF,rosenhorn 3689m von der gletscherschlucht nach rosenlaui_46.65_8.13
DiAmanditi,hohenlandsberg iffigheimer berg und andere auf den h chsten berg des steigerwalds_49.61_10.33
tricky,pulver gut am piz ela_46.59_9.74
SCM,auf das winterliche r tschenhorn 2703m_46.92_9.86
Schneemann,fr msel 2267m der steilste churfirst_47.17_9.26
schalb,herbstsonne zwischen geschinen und nufenen_46.48_8.33
Max64,monte teggiolo 2385 m anello da trasquera_46.22_8.19
ser59,pizzo badile brembano_46.01_9.74
gabri83,monte pedena_46.08_9.64
Riosambesi,pic ouest de c te belle 2854m_44.81_6.75
ser59,malga lunga per sentiero caslini_45.77_9.88
gbal,casa dei pagani tentativo per la via lavizzari valsecchi_45.88_8.99
D!nu,sidelhorn_46.56_8.32
Bertrand,oberbauenstock schwalmis le fer cheval des pr alpes de nidwald_46.94_8.51
83_Stefan,hochwanner 2744 m normalweg von s den_47.38_11.07
veget,rifugio piancavallone rinnovato_46.01_8.55
Bergamotte,alpstein 1 chammhalden h enerberg hrli h ngeten b segg s ntis_47.26_9.35
Bergamotte,alpstein 3 kreuzberge mutschen g tterifirst chreialpfirst_47.23_9.39
siso,passo bareta 2274 m_46.52_8.86
Stijn,europaleiter haupt hochstollen_46.78_8.25
morgan,monte legnone 2609m_46.09_9.39
ser59,arera valmora leten cimetto foppazzi grem_45.91_9.82
D!nu,rund um den greifensee_47.35_8.68
Andragon,zindlenspitz p 2097 m m kleine rundtour_47.08_8.95
carpintero,w ndlispitz via sch ferweg und s dostgrat_47.06_8.87
carpintero,gorges de l areuse und creux du van_46.95_6.78
carpintero,dejenstock via planggen_47.04_9
carpintero,julierpass bis chamanna jenatsch_46.5_9.71
carpintero,tierberg via nordflanke und bockmattli_47.1_8.94
carpintero,chamanna jenatsch bis spinas_46.54_9.78
peter86,motto crostel 2302 m anello da sorsello_46.46_8.85
cristina,50 tremila catinaccio di antermoia 3004 m_46.48_11.6
Curi,kramerspitz_47.5_11.05
Curi,im h gelland westlich von ansbach_49.3_10.52
schalb,goms herbstsonne unter dem eggerhorn_46.38_8.17
CampoTencia,hikr treff 2016 hochstollen und balmeregghorn_46.76_8.26
Chiemgauer,blaueisspitze 2481m und hochkalter 2607m ber die berraschend einfache ostflanke_47.59_12.89
Poge,mont nery o becca frudiera_45.7_7.83
pame,gro glockner 3798m ber normalweg bei perfekten verh ltnissen_47.05_12.69
giorgio59m,tris di laghetti full di pizzoccheri al casin garzonera_46.5_8.64
cristina,punta di lasa 3284 m_46.55_10.73
xrs1959,piz bo_46.5_11.82
xrs1959,nuvolau_46.5_12.05
cristina,brontolo e pisolo sulla signalgipfel 3393m e cima libera 3418m_46.95_11.23
cristina,sass rigais 3025 m_46.59_11.75
xrs1959,tre cime di lavaredo drei zinnen_46.62_12.3
gero,steinberg 2065 m der niedrigste im hochkalterstock_47.59_12.87
wasquewhat,lahnerkopf_47.66_11.83
xrs1959,giro dei 5 laghi madonna di campiglio_46.24_10.8
83_Stefan,breitenstein 1622 m runde ber bucher und kesselalm_47.72_11.98
bula_f,herbstwanderung durchs sittersbachtal zur wimbachschneid_47.57_12.84
D!nu,seealpsee scher ebenalp_47.28_9.41
xrs1959,thurwasserf lle_47.2_9.29
laponia41,der fonduefl sterer am hikr treffen_46.77_8.32
joe,foggenhorn und suone nessjeri_46.36_7.96
gero,rendezvous mountain 3170 m unterwegs in der s dlichen teton range_43.59_-110.85
gero,avalanche peak 3221 m bergsteigen im yellowstone nationalpark_44.48_-110.14
rkroebl,hochstollen 2481 m und balmeregghorn 2255 m am hikr treff 2016_46.76_8.26
Luidger,punta della splaiera sch ne wanderung in den piemontesischen seealpen_44.25_7.41
Dodovogel,ber den osser zum teufelssee_49.17_13.13
NrcSlv,valtellina via terrazzamenti da tirano a morbegno_46.18_9.87
Luidger,monte vecchio_44.21_7.56
BergfloHD,gro glockner normalweg_47.05_12.69
Stijn,pizzo forno_46.42_8.82
ser59,pizzo recastello cresta ovest_46.05_10.05
cai56,monte verrobbio_46.04_9.61
wasquewhat,langeckberg_47.61_11.79
Giaco,cima payer sentiero dei fiori parco naturale adamello brenta_46.22_10.57
siso,n rnberger h tte 2278 m dav_47.01_11.22
cappef,todano 1667m il pizzo 1644m pizzo pernice 1506m_46_8.53
ser59,cima di val vedra corna piana arera_45.94_9.82
Poge,pizzo del mezzod pizzo rovale pizzo giezza_46.17_8.21
pave,fridlispitz br ggler wasting time in dwarf pine_47.12_9.02
Curi,gro e arnspitze rauf und runter von scharnitz_47.4_11.24
Curi,sch ttelkarspitze und soiernseen_47.5_11.32
cai56,passo di sacco e bivacco strambini_46.37_10.14
SCM,federispitz 1865m_47.16_9.07
tricky,klettern bei der sulzfluh_46.99_9.82
tricky,via alta della verzasca_46.29_8.88
Bertrand,jegichnubel 3124m du l tschental travers e ar te sw ar te se_46.45_7.89
Max64,cima del tiglio cima lampone anello da carcoforo valsesia_45.9_8.03
MichaelG,bergtierpark f rth erlenbach_49.67_8.74
D!nu,munt pers piz trovat_46.41_9.96
joe,ankehubel r ttelhorn und schatteberg_47.28_7.62
surlyswiss,lungo la cresta settentrionale del brenta per la via costanzi_46.27_10.88
cappef,punta di valrossa 2968m_46.44_8.41
siso,saile o nockspitze 2403 m_47.2_11.33
Bergamotte,gipfelperlen rund um die claridenh tte_46.87_8.94
Andragon,mieserenstock h ch hund chl bd cher_47.02_8.85
Francesco,promontorio del tigullio traversata recco zoagli passando per il manico del lume_44.37_9.21
Makubu,kistenst ckli_46.8_9.05
pame,piz buin 3312m normalweg von bielerhoehe ueber wiesbadener huette_46.88_10.1
genepi,dent de vaulion et chamois_46.67_6.34
mimetzer,gr nstein ber riffelrinne normalweg_47.35_10.91
stefi,colle lavodillec 2869 m_45.66_7.48
stefi,bivacco citt di mariano 2838 m_45.88_7.72
stefi,becca di roisan 2544 m_45.79_7.34
stefi,colle malatr 2924 m_45.84_7.05
stefi,colle bassa serra 2742 m_45.71_6.87
stefi,lago bringuez 2334 m_45.77_7.76
Gabri,punta lazoney benvenuto autunno nel valle_45.73_7.92
Schneemann,pan eler kopf 2859m von brand eine heikle sache_47.08_9.71
martynred,cervandone 3210 m punta gerla 3087m e punta marani 3108m_46.32_8.24
stefi,colle belleface 3109 m_45.6_7.22
stefi,passo e laghi frudiere 2269 m_45.74_7.79
stefi,rifugio boccalatte 2803 m_45.84_6.98
Max64,monte corbernas 2578m punta della valle 2667m ring all alpe devero_46.33_8.3
stefi,pointe rousse 2695 m_45.59_7.42
stefi,mont tantan 2732 m_45.81_7.64
stefi,monte croce 2893 m_45.86_7.71
igor,corona di redorta 2804m_46.36_8.74
Poge,marguareis mongioie dintorni_44.17_7.74
Bergfritz,hochreichhart 2416 m_47.35_14.68
genepi,lac de la pers v rance_45.99_6.91
genepi,bel oiseau_46.08_6.93
joe,leichte gratwanderungen im kanton bl_47.38_7.73
siso,elferh tte 2080 m e pinnistal_47.09_11.33
maawaa,hochalbpfade iii hossinger hochalb_48.2_8.91
83_Stefan,stallauer eck 1216 m von kleinen gipfeln und fernen welten_47.74_11.47
Simone86,pizzo stella 3 163m_46.39_9.4
cicindela,binn leuk 8 9 turtmannh tte meidpass cabane bella tola_46.2_7.66
veget,alpe cingora valle anzasca_46_8.15
ser59,cancervo venturosa baciamorti_45.92_9.63
Riosambesi,grand veymont 2341m_44.88_5.53
MichaelG,marbacher stausee und einhards basilika_49.61_8.97
cicindela,binn leuk 7 9 turtmannh tte barrh rner_46.15_7.72
genepi,ber die grenze wieder ein mal_46.16_8.14
genepi,gondoschlucht und goldgrube_46.19_8.1
siso,giro del kalkk gel 2804 m le dolomiti del nord_47.15_11.31
Gherard,jubil umssteig_47.55_12.32
CampoTencia,r tschenhorn und andere h rner_46.94_9.84
Bertrand,via ferrata du t lli sortie des familles_46.75_8.33
Stijn,sasso grande alpe vecchio monte dei pizzoni_46.05_9.05
ser59,piz olda pian della regina_46.1_10.39
Bergamotte,eggenmandli 2448m und breit stock 2464m_46.83_8.58
cicindela,binn leuk 6 9 gruben turtmannh tte_46.19_7.7
martynred,corno grande 2912 m dallo spigolo sse_42.46_13.56
lampbarone,monstertour zum pic rougeat_42.51_2.46
ser59,presolana centrale orientale visolo corzene_45.94_10.07
siso,innsbrucker h tte 2369 m av_47.08_11.32
ser59,castello di gaino_45.66_10.62
Stijn,cheibehore gurbsgrat chirelgrat_46.59_7.53
giorgio59m,divano o efra efra senza dubbio_46.34_8.83
cristina,monte giove 3009 m_46.37_8.39
martynred,sentiero roma da bagni di masino a filorera kima inverso_46.25_9.65
Bergamotte,b chenstock 3011m und zw chten 3079m_46.76_8.53
83_Stefan,grubenkopf 1847 m ber vorderscheinberg und hasentalkopf_47.57_10.9
NrcSlv,tour della bessanese_45.28_7.12
D!nu,via ferrata auf den gaggio_46.21_8.98
NrcSlv,cima fraina m 2288 da premana_46.05_9.46
cappef,laghi di campo 2279m lago di oriaccia 2123m_46.13_8.16
Peti,creux du van_46.94_6.73
أجنبي,sch llihorn 3500m barrh rner 3583m 3610m_46.26_7.79
Schneemann,hochwart 2670m dem lavtinabach entlang_46.97_9.37
gonzo,19 25 pranzando in grigna settentrionale_45.97_9.37
Riosambesi,keeskopf 3081m ber das gradental_46.96_12.79
Margit,lange variante h henweg schalb jungu als rundtour_46.21_7.8
gabri83,monte sole corna rossa corna del dente_45.96_9.67
ser59,pizzo porola da valbondione_46.06_10
Max64,rothorn 3108m simplon dorf_46.18_8.04
ser59,pizzo tre signori da valtorta_46_9.52
Simone86,pizzo san martino 2 734m dal lago di campliccioli_46.03_8.08
Daniele,punte valnera e valfredda_45.78_7.78
giorgio59m,tschima da flix 3301mt e vaiiiiiiiiii altro 3k_46.52_9.67
pame,hoher dachstein 2995m ber schultersteig_47.47_13.62
cicindela,binn leuk 4 9 moosalp augstbordhorn brandalp_46.25_7.81
morgan,monte massone 2161 val strona_45.93_8.36
Menek,con trentapassi in ferrata si fanno tre cime_45.78_10.09
Kaj,abwegig an girenspitz chammhalde unterwegs_47.25_9.33
Makubu,g llihorn schwarzgr tli engstligengrat_46.45_7.61
morgan,passeggiata nella maderanertal_46.77_8.73
giorgio59m,piz rondadura 3016mt che giornata_46.57_8.78
Simone86,gole della breggia tour geologico_45.86_9.01
Luidger,hochwanner der lange weg von s den auf deutschlands nr 2_47.38_11.07
Alberto C.,pizzo quadro o cima de pian guarnei m 3015 da starleggia_46.4_9.31
cristina,rocca del nigro 2969 m rocca bianca cima n 3064 e anticima n 3050 pic di caramatran cima so 3021_44.66_6.97
Andy84,gehrenspitze 2163m ostgrat ein toller grataufstieg in den tannheimer bergen_47.49_10.67
Gherard,ber kohlalm und kohllahner sattel zum feldberg_47.6_12.35
Daniele,3 giorni al rif crete seche_45.88_7.4
ser59,piz lunghin piz turba_46.42_9.65
zar,arrivato anche il bishorn 4153 m_46.12_7.67
pame,raucheck 2192m selten begangener gipfel direkt vor der dachsteinwand_47.46_13.6
cristina,mont avril 3347 m_45.89_7.33
gmonty,val bavona chint 1555 m e rav ra 1410 m via s cc_46.34_8.59
olethros,nideren grischsattel ofen nagens_46.88_9.21
mst,fibbia 2738m_46.55_8.56
cristina,grand tournalin 3370 m e petit tournalin 3207 m_45.86_7.66
cristina,mont vertosan 2822 m e mont fallere 3061 m_45.75_7.19
morgan,monte crocione val d intelvi_46_9.17
morgan,biasca negressima nadro_46.35_8.99
cicindela,binn leuk 3 9 magelicke wyssgrat gspon_46.23_7.97
amphibol,mitholz rmighore giesigrat gerihore ramslauenen_46.55_7.69
cicindela,binn leuk 2 9 m derlicke simplon hospiz_46.27_8.06
Roald,piz avat 2910 m bike hike from sumvitg_46.75_8.93
aBart,schiberg einfach_47.09_8.94
Bergamotte,m rtschenstock mit biwak_47.08_9.15
Max64,punta d arbola ofenhorn 3236m_46.39_8.37
Roald,piz d artgas 2787 m_46.8_9.06
Gherard,ber den traithen_47.65_12.06
cicindela,binn leuk 1 9 saflischpass seewjihorn bortelh tte_46.33_8.13
D!nu,rund um den g scheneralpsee_46.65_8.48
Riosambesi,l arpelin 2604m kurztour ber dem col d izoard_44.82_6.74
Riosambesi,pic de for ant 3081m b ertour am col agnel_44.7_6.97
Schneemann,m rtschenstock fulen 2410m alle jahre wieder_47.09_9.15
tignoelino,ferrata delle guide valle anzasca_46_7.98
peter86,val ferret 1 day mont de la saxe testa bernarda e testa de la tronche_45.82_7.01
peter86,val ferret 2 day tete de ferret 2714 m_45.88_7.07
Poge,corno mud_45.87_7.95
Stijn,pizzo centrale ridge hike from gloggent rmlipass to passo posmeda_46.57_8.6
Riosambesi,mont clapier 3051m der s dlichste dreitausender der alpen_44.09_7.41
cristina,pointe de laval 3091 m e 3102 m e jean vert 3150 m_45.64_7.4
cristina,cascate di lillaz e valnontey_45.6_7.37
cristina,becca di fontaney 2972 m_45.82_7.49
gabri83,corno stella_46.05_9.78
Max64,pizzo san martino 2734m valle antrona_46.03_8.08
Bertrand,arpitettaz col de milon travers e s n_46.16_7.63
mp2012,eggenkofel_46.72_12.68
Poge,rocca dell adelasia_44.39_8.37
martynred,pizzo cefalone 2533 m e pizzo intermesoli 2635 m da campo imperatore_42.46_13.54
martynred,corno piccolo 2655 m da campo imperatore_42.46_13.56
Bergamotte,piz tumpiv 3101m piz dadens 2773m_46.78_9.01
cristina,punta tersiva 3515 m_45.63_7.42
CampoTencia,sentiero alpino calanca_46.44_9.18
cristina,bivacco leonessa 2910 m_45.56_7.32
cai56,rifugio gianetti_46.26_9.59
mp2012,gl dis 3206m_46.94_12.75
Stijn,lpeltispitz north ridge_46.88_9.91
Tasaio,entspannte gipfelrunde in paklenica crni vrh_44.32_15.48
kleopatra,sternschnuppe am hinteren feuerh rndl_47.66_12.8
martynred,monte aquila 2494 m e monte brancastello 2385 m da fonte cerreto_42.44_13.58
Gio59,passo del remulazz_46.41_9.11
Simone86,trail pizzo cornacchia 18k 1500d trail running_45.64_10.18
MatthiasG,hoher riffler verwall 3168m_47.12_10.36
cristina,monte creya_45.62_7.38
Gherard,ber den schmugglerweg zum klobenstein_47.7_12.39
Gherard,aus dem kohlental zum kohllahnersattel_47.6_12.35
peter86,las sours cima w 2979 m e anello della chamanna segantini da pontresina_46.5_9.91
Poge,grignetta a volte ritornano_45.91_9.39
Gherard,von der griesener alm ber den feldberg_47.58_12.33
pame,beinn a ghlo 1121m lange kammwanderung ueber drei aussichtsreiche munros_56.81_-3.74
Max64,anello al monte chaberton 3131m per la batteria alta_44.96_6.75
Luidger,regalmwand_47.55_12.33
Luidger,jaufenspitze bahn bike hike_46.87_11.38
cicindela,rappetal und chummehorn 2754m_46.43_8.21
igor,torent basso 2820m_46.35_9.04
ser59,tre giorni in val di fassa_46.46_11.65
Roald,a visit to martinsloch from elm_46.91_9.2
SCM,bike hike auf die kreuzspitze 3457m_46.83_10.89
pame,beinn fhada 1032m abwechslungsreiche wanderung auf einen komplexen munro_57.23_-5.33
martynred,monte corvo 2623 m e pizzo camarda 2332 m da lago di provvidenza_42.47_13.48
Stijn,pizzo cristallina passo grandinagia_46.49_8.54
genepi,et le jour suivant ber dem arpelistock_46.37_7.31
Riosambesi,pointe du lamet 3504m_45.23_6.98
Sky,pigne de la l 3396 m ar te nnw_46.09_7.59
Giaco,scopi_46.57_8.82
Giaco,cima della vezzana_46.27_11.82
martynred,tentativo fallito per il monte corvo 2623 m_42.51_13.42
cristina,dalla valsavarenche a chatillon 8 meravigliosi giorni di trekking_45.59_7.28
martynred,traversata a r lema 1621 m tamaro 1962 m da pradecolo_46.07_8.84
Sky,forfait alla t te de valpelline_45.93_7.53
joe,zirbenweg mit varianten_47.21_11.49
D!nu,bergseeh tte klettersteig krokodil_46.66_8.49
Pasci,grassen_46.76_8.46
Bergamotte,gemsfairenstock 2972m n rdl t felsstock 2961m_46.87_8.93
morgan,passeggiata all oberalppass_46.66_8.67
genepi,par le poteu des etales_46.31_7.27
ZvB,unterm federbett h rt dich niemand schnarchen realspitze und hoher riffler_47.07_11.73
Menek,una romantische stra e sul lago d idro ferrata sasse_45.79_10.53
CampoTencia,durch die tektonik arena von elm nach weisstannen_46.9_9.24
pm1996,traversata val qualido val del ferro_46.26_9.64
SCM,gi bin 2776m pizzo pr vat 2876m_46.56_8.6
Chiemgauer,dreiherrnspitze 3499m und r tspitze 3495 langer zustieg ber clarah tte_47.04_12.27
Nic,latschenk pferl 1517 m das omin se neue kreuz am laber_47.59_11.09
Bergamotte,altels 3629m_46.44_7.66
